岗位名称,岗位详情地址,薪资,公司名称,工作地点,经验要求,学历要求,岗位描述,公司融资情况,公司人数,公司行业,福利待遇
数据分析,https://www.zhipin.com/job_detail/bb038d37faf2c4171HR-2N28E1VU.html?lid=57xrNnMEsHR.search.88&securityId=Sc5LfT5i1rPRA-91UDYLxYWsXi_xPc7j5El23_11XH0haw1GRAFBNjsct-b5XJRV851-p2XI5IH42nSAwgQEhbGKLUotuonF4efPg1cLCLuA5EPj4E42&sessionId=,4-6K,引爆传媒,广州,1-3年,大专,R 计算机相关专业 SQL Python 数学/统计相关专业,不需要融资,20-99人,电子商务,团建聚餐 带薪年假 加班补助 年终奖 五险一金
数据分析师（跨境-双休）,https://www.zhipin.com/job_detail/b61612c7f287b7cc1XNy3Nu_FVtX.html?lid=57xrNnMEsHR.search.89&securityId=wyxZvHnLEPH8S-C14UswqGOHBkS0IQF65WVWLRS4Sq-UtI0nIrzgPP51-NzW6uCbc9uOpitjPWr_aw4SYDObSGu74iAUAGbAqkBm9pVCVwl77iuE&sessionId=,10-15K·13薪,广州盛为电子,广州,3-5年,本科,数据分析/挖掘经验 电商/零售行业数据相关经验 Python 数据建模 数据挖掘 电商行业数据分析师,未融资,100-499人,电子商务,全勤奖 年终奖 餐补 交通补助 节日福利 住房补贴 零食下午茶
大数据应用,https://www.zhipin.com/job_detail/324dba4a3cd067ae1XJ539u8F1NS.html?lid=57xrNnMEsHR.search.92&securityId=KFuYGjNQ7zBpi-f1qrYLMWBkXNN3HuzTYRmFY26-_hVXfQLb-6gdFGKCf_3XUuKWJogKy1BU9OO3AoBrDmMc96t5wsRPADJg7HJPHKJHHc7IYU87hg~~&sessionId=,27-28K,某500强上市公司,广州,1-3年,硕士,数学/统计相关专业,,,,五险一金 补充医疗保险 定期体检 年终奖 带薪年假 员工旅游 餐补 通讯补贴 包吃 节日福利
数据采集,https://www.zhipin.com/job_detail/63174eb895a656091XN609m4FFdX.html?lid=57xrNnMEsHR.search.94&securityId=SqQpuJ3v-o4Zh-U1OgYcKl3shQhLYU90mb3whqIzzisZhncj4M2Vxu3bz60biXcLMJVn6tLLkQcnQXo7_7BctN3vZClFcRkOhagaPR7hVzUyCpDwwiY~&sessionId=,15-16K,北京金安明信,广州,1-3年,本科,爬虫工程师 Python Scrapy Pyspider 计算机相关专业 爬虫开发经验 数据处理经验,未融资,0-20人,计算机服务,
数据专员,https://www.zhipin.com/job_detail/7e1a7b7f9ad9b3a71HR_2dW9EVBS.html?lid=57xrNnMEsHR.search.95&securityId=PYJi4FqkZcEK7-K1PpvTHyMRT-zOEPdvIfqFWmLlbaJSTL19BOhqJZF8KlEDZ-UykPfpMYRZYgZ-odwODoYD7EFJi0XVm3-i_W_jRJlIetasKnYwYM6e&sessionId=,5-8K,笨鸟互联网科技,广州,1-3年,大专,Power BI 数学/统计相关专业 数据分析/挖掘经验 电商/零售行业数据相关经验,,20-99人,互联网,
数据产品经理,https://www.zhipin.com/job_detail/3c4e98a4c0cf79011X1-3N26EVNS.html?lid=57xrNnMEsHR.search.97&securityId=QDcYZAFpfuQ9C-g1BNG9oVsG1npVg98aniSPM2DjW58CGEcoMAPcNWLGTLTlvMvJ_UJGSRkkWirJmiyXd1eDhFCf5x6t0AOt-tQwiJWGQxrJUtpUuVY~&sessionId=,12-24K·13薪,东呈集团,广州,3-5年,本科,大数据产品 需求分析 产品运营 数据分析,未融资,10000人以上,酒店,五险一金 定期体检 全勤奖 年终奖 带薪年假 员工旅游 餐补 通讯补贴 节日福利
大数据工程师,https://www.zhipin.com/job_detail/a7a46a4119c616ad1HR_29W0FFpZ.html?lid=57xrNnMEsHR.search.98&securityId=G5LNOZPb-vzgr-t1uyIfWKoPfS9Q-pKZgUM5aYE6xshAzHWUnUSgYGEUVCtTtuPyvsft1OvEJwThsfeMf_vVGmG4iUYBZPetgNgkP0nK8-SDzrlb&sessionId=,13-20K·15薪,广州迈源科技,广州,1-3年,本科,研究导向 搜索/推荐 云计算 Python Hadoop/Hive/Spark 计算机相关专业 数学/统计相关专业 机器学习算法/工程化经验,不需要融资,100-499人,其他行业,生日福利 节日福利 免费工装 包住 团建聚餐 员工旅游 带薪年假 法定节假日三薪 加班补助 年终奖 意外险 年终奖 项目奖 六险一金
数据建模工程师,https://www.zhipin.com/job_detail/b684e5770a01f7a41Xdz0tS6FFpQ.html?lid=57xrNnMEsHR.search.99&securityId=hyx8s8O9M6mKx-X1LZyy2e4z3e48kr7QDdu64tUuWfDinpsug7WITRtExTT9NBw06unA0SY0IbbVfTP8ONOhosc5nTzKvYoi8q9NSS4VcmNe2HxpkQ~~&sessionId=,10-15K·13薪,全民钱包,广州,1-3年,本科,Python 数据挖掘 数据建模,不需要融资,500-999人,互联网金融,生日福利 节日福利 团建聚餐 零食下午茶 餐补 员工旅游 带薪年假 全勤奖 法定节假日三薪 节假日加班费 绩效奖金 年终奖 定期体检 五险一金
数据分析师,https://www.zhipin.com/job_detail/6fdad44c6179c5dc1X152tu8FVNT.html?lid=57xrNnMEsHR.search.101&securityId=ZudEGVfgvYGYf-w1UGSGo_wuYxIor1bmOfdnMUxeasWzhiVYcYVXd_ZXRyHiHyJkvnt5q_2Uypi_py4fUlCSwTN_VXdy2uzS3KTaakbv8lLm5PKlq3p2&sessionId=,21-30K·16薪,欢聚集团,广州,3-5年,本科,SQL Python R,已上市,1000-9999人,移动互联网,五险一金 补充医疗保险 定期体检 年终奖 股票期权 带薪年假 员工旅游 餐补 交通补助 节日福利 零食下午茶
数据工程师,https://www.zhipin.com/job_detail/56499fb3cee356041n1-09-6F1RQ.html?lid=57xrNnMEsHR.search.103&securityId=dMtFfStiusRIo-D13KQKnKxD9bCZF1pVkt9FFeh7Phj3dVWN1R8UBa08wpZL_nWev-X3P2ghcP0sWaU7nGR00iOWFFpdxy3MpGKqJi7_Ajt2s121hQ~~&sessionId=,5-8K,韦欣服装,广州,1年以内,大专,Tableau xmind Microsoft 建模 分析师 报表 IT 硬件/网络管理,未融资,100-499人,服装/纺织/皮革,生日福利 节日福利 有无线网 宿舍有空调 包住 团建聚餐 餐补 包吃 工龄奖 底薪加提成 年终奖 意外险
数据应用,https://www.zhipin.com/job_detail/a80fc14cb1aae9d41XF93dm0E1pV.html?lid=57xrNnMEsHR.search.104&securityId=_YB2tdYrD7wKP-Y1oV7D3XMImbJReNBfYjSqlxSEk0MJptPURdYCf79WhTzWq5pqq-VeKd4Ez91GTb5HVg5Lc4zWi1gJy8NCHAcTMl6nPQZHAHQB&sessionId=,20-40K,某汽车生产公司,广州,经验不限,本科,需求分析,,,,
游戏数据分析,https://www.zhipin.com/job_detail/32fb5d93214699ba1XN839i0FVRR.html?lid=57xrNnMEsHR.search.105&securityId=bqPHyg9M3zjxA-T1B9ETDy-HsU7iY9_IjyrczJ82HvGw-7Kc_AmGs7098-NRh_fZhWPYf7-xsZbA_PFYfQSbJflMnTpmrQUPg9etX_ViKv1OO3JKeOw~&sessionId=,12-20K,初晓科技,广州,1-3年,大专,数据分析/挖掘经验,未融资,20-99人,游戏,节日福利 团建聚餐 零食下午茶 包吃 员工旅游 带薪年假 全勤奖 绩效奖金 年终奖 五险一金
数据科学家,https://www.zhipin.com/job_detail/d4b4dd99c11b59151X1z3N6-EFJT.html?lid=57xrNnMEsHR.search.107&securityId=PDg1iYJ6TaOAM-h1WYkscZ3TwkRB92ppwdOAzFeQsfSlrjRYRfpnlvVGHVCPXRhCLDolycyoJMmBHBbH1sR3Usv0dktLyNBXexErz_IvprJ4GX_cOkEE&sessionId=,25-30K·13薪,广州标智未来,广州,经验不限,本科,Python R Scala,,20-99人,化工,生日福利 节日福利 零食下午茶 员工旅游 带薪年假 绩效奖金 意外险 五险一金
大数据工程师,https://www.zhipin.com/job_detail/a2584f4ff5e5d79c1Xxz3dm4GFdQ.html?lid=57xrNnMEsHR.search.109&securityId=QHQK1tzyIoJMV-B14QfLhBU3PAri2D25IdgKrl775DwPh9f5NdureBMpbuqSUJdaWwRCPF98YG8U-GxT2c3dItp2BunlimqRtxgTU0KBC250ZN6l&sessionId=,35-45K,某知名企业,广州,经验不限,本科,底层能力 原代码,,,,零食下午茶 节日福利 交通补助 通讯补贴 餐补 免费班车 员工旅游 带薪年假 股票期权 年终奖 加班补助 定期体检 补充医疗保险 五险一金
高级数据分析师,https://www.zhipin.com/job_detail/49ac4ca70650f3f61HR_2t-1E1RX.html?lid=57xrNnMEsHR.search.110&securityId=-hh3o14BvcVee-e1VvS7buaU3M80-cDY-UXpdU5d-nKptIkPVKsGmry0oiWaIXhLYaq2xRDqOaXLnwUpiObfEkAFymIkGKZYiKf82HkJIglv7nAJ80B-&sessionId=,13-18K,广州芒果尚品网络...,广州,3-5年,本科,数据分析/挖掘经验 电商/零售行业数据相关经验 SQL 数据分析 Amazon 数据挖掘,未融资,100-499人,电子商务,带薪年假 员工旅游 节日福利 零食下午茶 五险
大数据挖掘工程师,https://www.zhipin.com/job_detail/53dc173af91a8e711nZ63dy5GVJS.html?lid=57xrNnMEsHR.search.111&securityId=yfgtLxuPan1M3-E1LegKwDzwZq5d4txxWzMVK5i_sd0CYTB2jfLl4w0xQZMTz_vrJb03MucGjge_SkF0xelGDshiM4jqNTVyfyEChvhhTy-4imUILA~~&sessionId=,15-30K,广州交信投,广州,3-5年,硕士,Java SQL Scala 深度学习算法 机器学习算法 Spark,未融资,100-499人,计算机软件,五险一金 定期体检 加班补助 年终奖 带薪年假 节日福利 餐补
数据开发工程师,https://www.zhipin.com/job_detail/279eed5374e4ae251X1_2ty0FVJX.html?lid=57xrNnMEsHR.search.113&securityId=H7mhD5AnkzC5Z-Q1YqF_vWI2lAtGBiuw1vcNjTPljpHiBr88R8KgErHcJ3s4HxMN8n15MupfF4eXGBbrm-D3JpwcRIJlo3ualH3ilxX7KQ1-HJ2_yIn6r5vm-5HJWWaXD3fpTdjphLtErmw~&sessionId=,16-20K,兴趣岛,广州,3-5年,本科,SQL Hive Python 数学/统计相关专业 大数据开发经验 计算机相关专业,B轮,1000-9999人,互联网,生日福利 节日福利 有无线网 团建聚餐 零食下午茶 餐补 包吃 员工旅游 带薪年假 底薪加提成 绩效奖金 年终奖 定期体检 补充医疗保险 五险一金
数据文员,https://www.zhipin.com/job_detail/3354a8b9220d350b1HR-0tq_ElRZ.html?lid=57xrNnMEsHR.search.114&securityId=hdcEkblSRpmwc-t1DNi7tPqoAxg4nPQILcDbMqmtw3-uvl5GIiadny6GS_vvwGuPANm69cKcxKeD9ds0fo5kpXeAQ6vnGKLEAcXzionGKXeGcqOZ1Co1y06F_AFvXb3hPM7YRDVfWYUDXYLXKXpjTKVC&sessionId=,5-10K,青清丽护肤品,广州,经验不限,学历不限,档案管理 固定资产管理 文书起草,不需要融资,0-20人,批发/零售,底薪加提成 保底工资 绩效奖金 年终奖 五险一金
数据分析师,https://www.zhipin.com/job_detail/09a413c99a2a33ee1X1z3Nm5FFJV.html?lid=57xrNnMEsHR.search.115&securityId=1z6X3xYSmT5OV-91DB7la_KC0Thb2FHSsJAj7YYkMT37Et4tFRotYWhHF5gDMm0S2Gt4IO-09ZnHRwOe34C9AK6D4HJOQlWl6RQifTJvzZwty--2&sessionId=,11-18K,慧科讯业,广州,3-5年,本科,social listening 消费者洞察 社媒研究,D轮及以上,1000-9999人,数据服务,五险一金 加班补助 年终奖 带薪年假 餐补 交通补助 节日福利 零食下午茶 生日福利 通讯补贴 团建聚餐 定期体检 补充医疗保险
产品专员（平台数据后台）,https://www.zhipin.com/job_detail/2991638f9ce7e91c1Xx83tm8EFZY.html?lid=57xrNnMEsHR.search.118&securityId=4FLnr3hBEWFF8-31Uu55xsS5ARqkbjZktRs4PAR7_tNx8iNlcfpJc8VCasD7YTDmfDbB-X1RuxU5D3pf9e1H6X06VkEy61WFfXhmjsCY9FoQQKgYj3Q~&sessionId=,10-15K,逸之帆,广州,1-3年,大专,数据产品 广告渠道,未融资,100-499人,游戏,节日福利 零食下午茶 包吃 员工旅游 带薪年假 全勤奖 年终奖 补充医疗保险
数据分析师,https://www.zhipin.com/job_detail/aeabbef3c42b86b91X1y2Nm5EFZS.html?lid=57xrNnMEsHR.search.119&securityId=BIsP77m8GkdNi-o1WqB8sFaxMVWa1_W7zh-olyUNSJUAQqhIQphYG1UO-_FacxCJeGS2sAGHFbTflyRDr8lF9Px5S4ruQitHF7xL6jTWduFpzfwDcNw~&sessionId=,15-30K,汉泽,广州,5-10年,本科,数据分析/挖掘经验 文娱/游戏行业数据相关经验,未融资,100-499人,游戏,生日福利 节日福利 团建聚餐 零食下午茶 员工旅游 带薪年假 工龄奖 法定节假日三薪 节假日加班费 加班补助 企业年金 绩效奖金 年终奖 定期体检 补充医疗保险 五险一金
数据ETL处理工程师,https://www.zhipin.com/job_detail/15174cc7e5c23ef81HR72tq8FFdR.html?lid=57xrNnMEsHR.search.120&securityId=4dgzt8qtqKidG-e1oE_Nm4khA_QcHbzKMclvvrN6IZDSRKUvawh_vBrbWQoTleHHmQB5N7hbW5rj78qoFYtYDHbp3xgmjCEcSZap3hNBfFjqQRYLgWI0&sessionId=,18-25K,广州雷澳信息科技,广州,3-5年,大专,Spark Flink Java ETL开发经验 大数据开发经验 数仓建设经验 Doris/Starrocks linux开发,,20-99人,移动互联网,
数据分析,https://www.zhipin.com/job_detail/1144958eaf0cfc301HR539S6EFNX.html?lid=57xrNnMEsHR.search.123&securityId=qFnFj7HDKvYPX-y13LidoanFm4yfGXMSr9rXt-yqQESRlJVFXkIKwMeMWVHFqpcoYL7808kWYhk-Xrtk7D91My4aDa8WI5vQeG-CjuabbczIPX6X_r4~&sessionId=,15-25K·15薪,Flat Incubator,广州,经验不限,本科,SQL Power BI Python 业务分析 数据产品,不需要融资,500-999人,互联网,五险一金 补充医疗保险 定期体检 年终奖 股票期权 带薪年假 员工旅游 餐补 交通补助 节日福利 零食下午茶
算法工程师（数据分析）,https://www.zhipin.com/job_detail/1aed94ec0366823b1HR43tS-FFVR.html?lid=57xrNnMEsHR.search.124&securityId=HhwYSg_mDc7pr-p1cuTtSKvm6AANoU07Ot1LsTYvCv5I7SFuYZyFNLI7RUULic0NoOAlC8giJresepSfq2bntMrlNgOnrBxYkYU_X2v8Houk9Gop&sessionId=,12-18K·14薪,华粤企业集团,广州,1-3年,硕士,数据挖掘 临床分析 逻辑回归,不需要融资,500-999人,医疗健康,五险一金 加班补助 全勤奖 年终奖 带薪年假 餐补 通讯补贴 交通补助 包吃 节日福利
数据开发,https://www.zhipin.com/job_detail/006cef6041fd33d01Xx-2Ni1FFRX.html?lid=57xrNnMEsHR.search.125&securityId=fsGBrihgK61a7-J1IQCROcmFp0VNuFz8Dsk00uZUvd7tAPbX8o0_OfTxbu9TCh2vxyurCeaRHiu0OlYelij_H8LCs3U5aIkAeLewgSs8MEQ53BrZ2w~~&sessionId=,30-35K·13薪,恩士迅信息科技上海,广州,5-10年,学历不限,Hive python 留学生优先 Spark SQL,不需要融资,10000人以上,计算机软件,五险一金 补充医疗保险 定期体检 加班补助 年终奖 员工旅游 绩效奖金 意外险
游戏数据运营,https://www.zhipin.com/job_detail/acf5ff130b6a986d1nV-2N26FFtV.html?lid=57xrNnMEsHR.search.128&securityId=qYeLFSvBCGhUl-G1dYI-gQ0Gumlgyll9ne0p2fvUutp4n6Ekq5JOXoHFEWqdP37hbMdIZ463hJfxFeO7eCEUUwdOyhIPwWq_vEgC4QXnSboLfrekHA~~&sessionId=,12-18K·14薪,三七互娱,广州,1-3年,本科,数据运营 业务数据分析 SLG ARPG 研发运营 Python,已上市,1000-9999人,移动互联网,五险一金 补充医疗保险 定期体检 全勤奖 年终奖 股票期权 带薪年假 员工旅游 餐补 交通补助 包吃 节日福利 零食下午茶
数据采集专员,https://www.zhipin.com/job_detail/934d271b8312fd111nx93t2_F1tR.html?lid=57xrNnMEsHR.search.129&securityId=Et196IrGFDQ9_-R1AriVc4D9D-nge62aWF06ZiFDXbe_So0XM3zAAkWN9-BebAbrvq5CGNwskEDmRfAm2P8jhi81CyChnb8oHJYhQ7ipyespGhsziON3&sessionId=,10-15K,广东海腾科技有限公司,广州,3-5年,本科,PHP 网络爬虫技术 网络协议 MySQL SQL Server 数据挖掘,未融资,100-499人,互联网,生日福利 节日福利 零食下午茶 带薪年假 底薪加提成 五险一金
漏洞挖掘工程师,https://www.zhipin.com/job_detail/eeac9178419471ca1XN_0965F1NR.html?lid=57xrNnMEsHR.search.130&securityId=KI6zfnfU1BHJI-K1GFhke1yxfCqqTfyo6gCfpGM3F94N9DrdVnNqiX7K4SjrYUu7aQY8Qu9BxpZ9bCaEpuQNYl5SdnwQuEimyqiZAYoQbRyjEbpqYA~~&sessionId=,15-25K,晨扬通信,广州,经验不限,本科,渗透测试经验,不需要融资,20-99人,计算机软件,五险一金 定期体检 加班补助 全勤奖 年终奖 带薪年假 员工旅游 餐补 通讯补贴 交通补助 节日福利 住房补贴 零食下午茶
数据治理,https://www.zhipin.com/job_detail/3a92f946d84d764f1X1929m1FFNW.html?lid=57xrNnMEsHR.search.133&securityId=mbFDIHdlRZjfR-P1bj4eihPMhfiZ-gXJTbNaY7p_oPsDUHzZEfMZ77fbI0BSlTkRcsXdpn0YAuev6nW-p_Sx8FHXEqN0z69PQXSaBe0nsjzb3njWusMn&sessionId=,15-20K,鑫晟隆,广州,5-10年,大专,计算机相关专业,,100-499人,计算机硬件,
水利大数据分析师,https://www.zhipin.com/job_detail/b67aa25812612d6d1XJ72d66FlBS.html?lid=57xrNnMEsHR.search.134&securityId=oTvIoLkgm9H8c-41T-uZJqlXtTxy1XFEpF1nUQx1YsgDIlda6iMwFLnnIVbg_DygUCE_HYVMXA6jfMnIy9UeP843obZ8bAknOpmel_dZnlI_azUoKg~~&sessionId=,15-20K·14薪,华南水电高新技术,广州,1年以内,硕士,数学/统计相关专业 计算机相关专业 水文与水资源工程 水利水电工程 水资源,,100-499人,计算机软件,交通补助 节日福利 餐补 带薪年假 年终奖 定期体检 五险一金
数据研发,https://www.zhipin.com/job_detail/f366b33416aec2b41HR_0tu7EVtZ.html?lid=57xrNnMEsHR.search.135&securityId=TeHYYVEH7pBRM-G1kdJQt4ii5wncmdKxNzW3-3HVZHGMH9rp0uXneXQWihgNI0-FxmO8zhoSgaT_Q1a2Y9oVrDjy0FqYdO2UYDx-502RWKvDm8X1&sessionId=,15-25K,中移互联网,广州,经验不限,本科,Java,不需要融资,1000-9999人,移动互联网,五险一金 补充医疗保险 定期体检 年终奖 带薪年假 免费班车 餐补 通讯补贴 交通补助 包吃 节日福利 零食下午茶
数据分析师,https://www.zhipin.com/job_detail/250424b5774b6b451X170tm9E1BY.html?lid=57xrNnMEsHR.search.138&securityId=gvuH50gYtrgNc-81M7dYFjN-gphqd55WLSe2gIEQX1tagQS79aAF8BjdKCcYZd4XiAOx8XL_2ZLi8Gko642vlbo-LDLsuRhNGm_hKIAPEQtvXz3ZPfc~&sessionId=,10-15K·13薪,广东龙泉,广州,1-3年,本科,数据仓库 ETL 华为云,未融资,100-499人,计算机软件,五险一金 补充医疗保险 年终奖 带薪年假 员工旅游 节日福利 零食下午茶
数据开发,https://www.zhipin.com/job_detail/82ad188d231d83df1HR_2tm0E1pS.html?lid=57xrNnMEsHR.search.139&securityId=Os8nn28DmAYAu-H1kTxwilt5phL_eAZh4uH2vKjVPyzctZlS9FQFBqBtaBRQV1zlIE12TcOJ-3OFWrgKoFP_xq7nZ9YYh3S81R-IvB07VGNd07-n&sessionId=,12-14K,昱辉通信,广州,3-5年,大专,ETL开发经验 计算机相关专业 大数据开发经验,未融资,100-499人,计算机软件,定期体检 年终奖 带薪年假 员工旅游 节日福利 零食下午茶 购买五险
数据分析师,https://www.zhipin.com/job_detail/82bb703122e1d3df1X1_3t27FlFX.html?lid=57xrNnMEsHR.search.140&securityId=d6QgqCbqi5n4j-N1ho3ckJ0E2ph7gSu_HZXBFfO0fNcuQk29tQDR32r2gcpciKGhHjDj-jeVjiom6j5bl6g4uJ482-_-W0YXsSqhlVz43BtUhwpKew~~&sessionId=,8-10K,广州富农,广州,1-3年,本科,MATLAB Tableau SAS 数据分析/挖掘经验 电商/零售行业数据相关经验 物流行业数据相关经验,不需要融资,20-99人,食品/饮料/烟酒,
央企-数据分析,https://www.zhipin.com/job_detail/74656912ee9b6f3d1HR_3dS_EFtR.html?lid=57xrNnMEsHR.search.143&securityId=zZ_0TsLQnHoeF-v1b_8cUZAZWBuBlZUsE3iYx90foTrf1Ai9HM6WsVu3Q-IpIAFhlrGQ_sqbfuw1K27EPOBNBmoPmS4Yb2oC0eZmu7CVMrvTuPwEww~~&sessionId=,20-30K,某500强上市公司,广州,3-5年,本科,SQL Python 数据分析/挖掘经验,,,,五险一金 补充医疗保险 定期体检 年终奖 带薪年假 免费班车 餐补 通讯补贴 交通补助 包吃 节日福利 零食下午茶
数据优化专员,https://www.zhipin.com/job_detail/f5d3045e26bfa5831HR53dm8F1dS.html?lid=57xrNnMEsHR.search.144&securityId=_0KC2EL3lNy7H-91j8pyyLxQ_z3xUlejTOUlD_sTnisJNncy1OJ_KXwQ5VRr7JzFtNv5F7HNfSswlWf7m-Pbwz_RQMbLedASBFxnY2RG_xHdstLBo10~&sessionId=,6-10K,人人租,广州,1年以内,大专,业务数据分析 业务模式/运营策略优化 BI平台建设 数据分析/商业分析经验 SQL Tableau/Power BI,C轮,500-999人,企业服务,五险一金 定期体检 加班补助 全勤奖 年终奖 股票期权 带薪年假 员工旅游 餐补 节日福利 零食下午茶 生日红包
大数据总监,https://www.zhipin.com/job_detail/e9ac65bc09f023ca1XVz2tu-EVFX.html?lid=57xrNnMEsHR.search.145&securityId=y2w5bohcMfGd--t1NFAI8zX14iA2I2ByvsV9vq4rW27QswQAyPd-geczNeXrmteQKyCMByRSkxS5CikznuCysKW_Lp5Mqw2U5l03p2GKQ-b1-KU~&sessionId=,40-60K,某大型移动互联网公司,广州,3-5年,本科,大数据,,,,五险一金 补充医疗保险 定期体检 年终奖 股票期权 带薪年假 员工旅游 餐补 节日福利 零食下午茶 业务利润分红
云图数据分析师,https://www.zhipin.com/job_detail/a4c593a0e3bb7b141X1y0tu1GFdW.html?lid=57xrNnMEsHR.search.146&securityId=ciy1mESASq-Iq-11i6QZB9JliDOOUgmlw4VWLFYMty75bQl5dAbA4DXHMq_gsNPB9s1GrNB2Rc8aKp99hzLjqJj8kWfs3xdmLFRIWUbgAesCw619&sessionId=,9-14K,剧星传媒,广州,1-3年,本科,阿里系数据分析 云图数据分析 抖音,已上市,1000-9999人,广告营销,生日福利 节日福利 高温补贴 有无线网 员工旅游 带薪年假 保底工资 定期体检 五险一金
游戏数据分析师,https://www.zhipin.com/job_detail/39ad54c610e89f161Xx72d-4F1BT.html?lid=57xrNnMEsHR.search.149&securityId=FYCJ_O9YdXbjv-L1P7kOZI5cr2bbGmc4aIGBYgQdo5nmplaQ8nEmi-OHzXajwiH7E8aXbszw-n8Rm-iH6oW7SJOS-1Qc5Bap94NUsqMK5eRZHWOp&sessionId=,30-60K,某知名游戏上市公司,广州,3-5年,本科,SQL 文娱/游戏行业数据相关经验,,,,五险一金 定期体检 带薪年假 员工旅游 免费班车 节日福利 零食下午茶
数据分析,https://www.zhipin.com/job_detail/22749130a9fe89a81HR43d69F1ZW.html?lid=57xrNnMEsHR.search.150&securityId=eqdstBOu2l98v-014OVrJctQ98QhS2ewrKu7pCaHOvVJgyIvjaGtr-AfesxbvhUMEd1DjxUWPH373OuLfmkY4drjrY0w1TY0zoZ0dQa_RbaD5GcQqg~~&sessionId=,5-7K,美天惠科技有限公司,广州,1-3年,大专,数据分析 产品分析,未融资,100-499人,批发/零售,节日福利 零食下午茶 员工旅游 带薪年假 绩效奖金 年终奖 五险一金
数据专员,https://www.zhipin.com/job_detail/a870517cd1b334f91HR729i4GFVW.html?lid=57xrNnMEsHR.search.151&securityId=XUuXdUUXsSrld--1r3dSQu_97xhnumGT2MsN_NEDisEUEpyaFBcBQJhT-DSi5VzJwtVgpKwFcSOXrFxN8ST99orZqoG-R7b7MS8JdE-snvsXbE9EOf0~&sessionId=,10-15K,锐翔科技,广州,1-3年,本科,用户深度研究 定性研究 数据分析/商业分析经验,不需要融资,20-99人,其他服务业,交通补助 生日福利 节日福利 住房补贴 团建聚餐 餐补 员工旅游 全勤奖 工龄奖 节假日加班费 加班补助 股票期权 底薪加提成 保底工资 绩效奖金 年终奖 定期体检 意外险 五险一金
数据产品经理,https://www.zhipin.com/job_detail/0c34c379d36f14c71XF50ti7FVRQ.html?lid=57xrNnMEsHR.search.154&securityId=6TAlFdB99IY22-I1-fP2ASRg5C6GWpZG92WJ6IFRu_YuMNu-LdK4nEOcUZMM2eGDTTAcaOtVMlmx-wXFxBQKFEaUuKFteQIpXrT9wOihX9I856k~&sessionId=,20-30K,灵动,广州,1-3年,本科,平台产品 市场调研 需求分析 产品设计 产品运营 数据分析 MindManager Visio,不需要融资,100-499人,游戏,五险一金 定期体检 加班补助 股票期权 带薪年假 员工旅游 餐补 交通补助 节日福利 零食下午茶 绩效奖金 项目奖金
数据治理专家,https://www.zhipin.com/job_detail/f27b3db4dcc67aff1X1-2NW1EVJQ.html?lid=57xrNnMEsHR.search.155&securityId=cx2i-uKLR53qR-G1ZLlxbx3beLZ1zEQTt_QsYu2LT0qNOsIOvzgVkjf5zMC3Rl_wXRHiNYycgirjjEn2L8JdoOeetmNeGDaS0KnA0EC4-1dnhIJikg~~&sessionId=,15-20K,领航动力信息,广州,3-5年,大专,Python Shell 数学/统计相关专业 dama CDGA 数据治理,未融资,500-999人,数据服务,五险一金 补充医疗保险 定期体检 带薪年假 员工旅游 餐补
数据分析专员,https://www.zhipin.com/job_detail/99ddfecfb54cb18e1HR43N67F1VQ.html?lid=57xrNnMEsHR.search.156&securityId=birMIZYqHdTsF-B1MiNV4GnUBL-rmTcKB4VVbRHpqdAo8WEgHNmbWBJjVIWhmZ4nOa8Lx9l_V2LeF7HHFC3hFmJdJ3GovoXgJ7qKmQqdto140ycd9g~~&sessionId=,13-18K,顺丰速运,广州,3-5年,本科,数学/统计相关专业 数据分析/挖掘经验 物流行业数据相关经验,已上市,10000人以上,物流/仓储,五险一金 补充医疗保险 定期体检 加班补助 全勤奖 带薪年假 员工旅游 免费班车 餐补 通讯补贴 交通补助 包吃 节日福利 住房补贴 零食下午茶
